name,year,month,lue,t_opt,t1,t2,t,W
Sundarbans,2019,5,1.234605472434807,20.005358383971164,0.999998752622499,0.5287119950358878,30.60979590982241,0.9339920502257237
Sundarbans,2019,6,2.059471875855909,20.005358383971164,0.999998752622499,0.5491931866288725,30.368611285055394,1.5
Sundarbans,2019,7,2.301898548298029,20.005358383971164,0.999998752622499,0.6138403799916073,29.606187125873436,1.5
Sundarbans,2019,8,2.4105297281833953,20.005358383971164,0.999998752622499,0.6428087306571748,29.2598037296764,1.5
Sundarbans,2019,9,2.573729041229446,20.005358383971164,0.999998752622499,0.6863286015150838,28.727328423105543,1.5
Sundarbans,2019,10,2.7950354310568333,20.005358383971164,0.999998752622499,0.7453437121512863,27.967118437070837,1.5
Sundarbans,2019,11,3.439793327573007,20.005358383971164,0.999998752622499,0.9172793654201765,25.071558382896416,1.5
Sundarbans,2019,12,2.894106969836655,20.005358383971164,0.999998752622499,0.9933448747466511,20.254614993974478,1.1654001751364014
Everglades,2014,1,3.706163893492652,19.433939735459518,0.9998302351954392,0.9912235531162353,19.433939735459518,1.4958453300606442
Everglades,2014,2,2.8173208681781596,19.433939735459518,0.9998302351954392,0.9753216947157939,22.65243371148032,1.1556501607043088
Everglades,2014,3,2.8170779668581423,19.433939735459518,0.9998302351954392,0.9781538566634107,22.51346592567666,1.152191097573603
Everglades,2014,4,1.7755114437467687,19.433939735459518,0.9998302351954392,0.908334623513678,24.69941626110427,0.7819668709472856
Everglades,2014,5,2.1111063247714257,19.433939735459518,0.9998302351954392,0.8042911259148655,26.557392047213717,1.0501965941798443
Everglades,2014,6,2.851701623752826,19.433939735459518,0.9998302351954392,0.7605821755136696,27.18816102287291,1.5
Everglades,2014,7,2.514855746404618,19.433939735459518,0.9998302351954392,0.6707640081250613,28.348085190050167,1.4999502030013883
Everglades,2014,8,2.297229353154412,19.433939735459518,0.9998302351954392,0.6126974853255287,29.048054844833203,1.5
Everglades,2014,9,2.775391124292594,19.433939735459518,0.9998302351954392,0.7402292989320816,27.463312709911204,1.5
Everglades,2014,10,2.9532183850987788,19.433939735459518,0.9998302351954392,0.8291744279039314,26.176094322043618,1.4248575456784491
Everglades,2014,11,3.161983674325479,19.433939735459518,0.9998302351954392,0.987264491682576,21.962237251500284,1.281326981505201
Everglades,2014,12,2.97007414675445,19.433939735459518,0.9998302351954392,0.994218810218709,21.271042095829845,1.1951428216073174
Everglades,2015,1,2.7127994359219403,21.22045988792271,0.9992523500185964,0.9912235531162353,21.22045988792271,1.0955468257886518
Everglades,2015,2,3.011364209777356,21.22045988792271,0.9992523500185964,0.9600069138755897,19.3539211798502,1.2556611287226385
Everglades,2015,3,2.048439854370144,21.22045988792271,0.9992523500185964,0.983317358056594,24.01461432433881,0.8338926868320012
Everglades,2015,4,2.969684490966365,21.22045988792271,0.9992523500185964,0.9210081312555722,26.196666352902646,1.2907368410617646
Everglades,2015,5,2.0052806953230093,21.22045988792271,0.9992523500185964,0.8886278055829632,26.904547069483947,0.9033494736998633
Everglades,2015,6,2.7939842414557923,21.22045988792271,0.9992523500185964,0.8387550082512694,27.80732313170871,1.3334648525719586
Everglades,2015,7,2.139387247219708,21.22045988792271,0.9992523500185964,0.7788867846395889,28.71979177250023,1.099605775417473
Everglades,2015,8,2.9022375531457536,21.22045988792271,0.9992523500185964,0.7745094397899591,28.78181214722418,1.5
Everglades,2015,9,3.1105699870897334,21.22045988792271,0.9992523500185964,0.830106334273726,27.948332018622235,1.5
Everglades,2015,10,2.9313074454137324,21.22045988792271,0.9992523500185964,0.9035396507708854,26.596428580509357,1.2986758426753098
Everglades,2015,11,3.4214148113940253,21.22045988792271,0.9992523500185964,0.9441693590950387,25.582082282816668,1.450553810983779
Everglades,2015,12,3.5269010539722894,21.22045988792271,0.9992523500185964,0.9774798940921251,24.338366954194417,1.44435025930783
Everglades,2016,1,3.7165060821050564,19.46642010141895,0.9998433607086928,0.9912235531162353,19.46642010141895,1.5
Everglades,2016,2,3.3134755162534777,19.46642010141895,0.9998433607086928,0.9935663133375188,19.762133942378313,1.3341659308592297
Everglades,2016,3,2.4610346893819903,19.46642010141895,0.9998433607086928,0.9521351791427172,23.568674227442298,1.0343565931554033
Everglades,2016,4,1.7905631703187208,19.46642010141895,0.9998433607086928,0.9161922197564776,24.549674434032145,0.7819676305187173
Everglades,2016,5,2.877613088598733,19.46642010141895,0.9998433607086928,0.8276558426428331,26.230171267421913,1.391088641528317
Everglades,2016,6,2.643417000237972,19.46642010141895,0.9998433607086928,0.7050203474215703,27.95213720402166,1.5
Everglades,2016,7,1.9213586800578875,19.46642010141895,0.9998433607086928,0.6238984192732924,28.946662909592714,1.2331142040960201
Everglades,2016,8,2.538695004080106,19.46642010141895,0.9998433607086928,0.677090238715602,28.302280603897163,1.5
Everglades,2016,9,2.7043512202160054,19.46642010141895,0.9998433607086928,0.721272268182195,27.744114003809578,1.5
Everglades,2016,10,3.0435797234497146,19.46642010141895,0.9998433607086928,0.8502884742848255,25.85696392800896,1.4320178379660096
Everglades,2016,11,2.754554513141166,19.46642010141895,0.9998433607086928,0.9702557159591524,22.915660041231888,1.1357743415351271
Everglades,2016,12,2.8574074374765255,19.46642010141895,0.9998433607086928,0.9572858263898633,23.409027765051622,1.1941634349335635
